Year,Month,tas
1921,1,1.4867766
1921,2,1.2666811
1921,3,1.2390081
1921,4,2.4150667
1921,5,4.678782
1921,6,5.7649174
1921,7,5.871436
1921,8,5.640055
1921,9,4.768809
1921,10,3.087443
1921,11,2.6880016
1921,12,1.8652658
1922,1,1.9122362
1922,2,1.0274013
1922,3,1.09904
1922,4,2.3938568
1922,5,4.431387
1922,6,6.0142145
1922,7,6.393434
1922,8,5.7522483
1922,9,4.8991566
1922,10,3.1885574
1922,11,1.9285787
1922,12,1.2971854
1923,1,0.78882843
1923,2,0.48536268
1923,3,0.88027304
1923,4,2.2721434
1923,5,4.586797
1923,6,5.8999143
1923,7,6.256087
1923,8,5.716623
1923,9,4.6175427
1923,10,3.1269991
1923,11,2.195835
1923,12,1.550674
1924,1,1.4917442
1924,2,1.2882264
1924,3,1.3881242
1924,4,2.61477
1924,5,4.554406
1924,6,5.9378586
1924,7,6.106763
1924,8,5.6985083
1924,9,4.7116537
1924,10,3.6516604
1924,11,2.3285544
1924,12,2.1915753
1925,1,2.0897877
1925,2,1.3620206
1925,3,1.4779738
1925,4,2.779977
1925,5,5.067112
1925,6,5.9755874
1925,7,5.8835297
1925,8,5.6348987
1925,9,4.812959
1925,10,3.4699922
1925,11,2.280773
1925,12,2.0726707
1926,1,1.630241
1926,2,1.0790315
1926,3,0.85842705
1926,4,2.4420729
1926,5,4.562974
1926,6,5.830441
1926,7,6.3569136
1926,8,5.5070095
1926,9,4.588286
1926,10,3.42551
1926,11,2.6527598
1926,12,1.8746811
1927,1,1.2843102
1927,2,1.4044042
1927,3,1.7076652
1927,4,2.871468
1927,5,4.659211
1927,6,5.9920726
1927,7,5.9264655
1927,8,5.583927
1927,9,4.4840655
1927,10,2.829556
1927,11,2.2224104
1927,12,1.9027857
1928,1,1.9409082
1928,2,2.1007576
1928,3,1.1340553
1928,4,2.4460206
1928,5,4.677183
1928,6,5.909741
1928,7,6.24673
1928,8,5.5490694
1928,9,4.678829
1928,10,2.7893648
1928,11,1.9491193
1928,12,1.7554027
1929,1,1.1601588
1929,2,1.4566222
1929,3,1.2173734
1929,4,2.5244997
1929,5,4.585228
1929,6,6.03211
1929,7,6.3536153
1929,8,5.852466
1929,9,4.933679
1929,10,3.0630953
1929,11,2.0618644
1929,12,2.120987
1930,1,1.5325416
1930,2,0.9749536
1930,3,0.98569804
1930,4,2.4276347
1930,5,4.430141
1930,6,5.541509
1930,7,6.036081
1930,8,5.895609
1930,9,4.723941
1930,10,3.4533997
1930,11,2.193845
1930,12,2.0796027
1931,1,1.4662167
1931,2,1.0186279
1931,3,1.1606278
1931,4,2.5547307
1931,5,4.61352
1931,6,5.782849
1931,7,6.2427793
1931,8,5.873783
1931,9,4.6843014
1931,10,3.409523
1931,11,2.173908
1931,12,1.7971306
1932,1,1.4494
1932,2,1.146981
1932,3,0.90303206
1932,4,2.470535
1932,5,4.6123343
1932,6,6.1869106
1932,7,6.1478467
1932,8,5.8000474
1932,9,4.7761316
1932,10,3.0400455
1932,11,1.7350589
1932,12,1.32237
1933,1,1.4388578
1933,2,1.0458484
1933,3,1.35823
1933,4,2.6259723
1933,5,4.839146
1933,6,6.0466657
1933,7,6.27254
1933,8,5.7164097
1933,9,4.9835362
1933,10,2.9456217
1933,11,1.9723241
1933,12,1.8186083
1934,1,1.8454447
1934,2,1.249468
1934,3,1.3645315
1934,4,2.347062
1934,5,4.613625
1934,6,5.8973923
1934,7,6.0664716
1934,8,5.7031116
1934,9,4.5987678
1934,10,3.325581
1934,11,2.1202123
1934,12,1.5107735
1935,1,1.2576528
1935,2,1.4148148
1935,3,1.3364258
1935,4,2.5245888
1935,5,4.5146356
1935,6,5.850563
1935,7,6.378208
1935,8,5.9089546
1935,9,4.4960685
1935,10,3.2260134
1935,11,2.4223714
1935,12,2.162189
1936,1,1.7613153
1936,2,1.1943562
1936,3,1.3989658
1936,4,2.5429885
1936,5,4.822429
1936,6,6.028016
1936,7,6.1007133
1936,8,5.8390613
1936,9,5.044616
1936,10,3.5959635
1936,11,2.4596348
1936,12,2.1320372
1937,1,1.5067488
1937,2,1.4588704
1937,3,1.2340173
1937,4,2.3095493
1937,5,4.695311
1937,6,5.9795604
1937,7,5.912625
1937,8,5.9456887
1937,9,4.6346493
1937,10,3.0208807
1937,11,2.1358335
1937,12,1.9584497
1938,1,1.582499
1938,2,1.3823004
1938,3,1.7644094
1938,4,2.684117
1938,5,5.0295005
1938,6,6.1208687
1938,7,6.0537744
1938,8,5.829081
1938,9,4.4844813
1938,10,3.1677918
1938,11,2.0359344
1938,12,1.6947781
1939,1,1.5084376
1939,2,1.7661468
1939,3,1.3371491
1939,4,2.6639025
1939,5,4.551543
1939,6,6.181762
1939,7,6.548434
1939,8,6.044475
1939,9,4.578418
1939,10,3.0160096
1939,11,1.7703379
1939,12,1.6684078
1940,1,1.1373847
1940,2,1.5319661
1940,3,1.6525388
1940,4,2.7474039
1940,5,5.0882063
1940,6,6.16588
1940,7,6.756927
1940,8,6.1240377
1940,9,4.95076
1940,10,3.196986
1940,11,2.5243979
1940,12,1.9439967
1941,1,1.7227061
1941,2,1.2098131
1941,3,1.2290161
1941,4,3.1763685
1941,5,5.067761
1941,6,6.2716737
1941,7,6.722471
1941,8,6.1438704
1941,9,5.1552534
1941,10,3.5753224
1941,11,2.651218
1941,12,1.9695444
1942,1,2.2548058
1942,2,1.7890037
1942,3,1.7834005
1942,4,2.9225311
1942,5,4.8105073
1942,6,6.2269154
1942,7,6.335465
1942,8,5.9490294
1942,9,4.863284
1942,10,3.344593
1942,11,2.2405467
1942,12,2.015952
1943,1,1.6352578
1943,2,1.3678259
1943,3,1.4922721
1943,4,2.7397268
1943,5,4.826018
1943,6,6.0026484
1943,7,6.3047295
1943,8,5.80495
1943,9,4.538721
1943,10,3.071012
1943,11,2.2947237
1943,12,1.5783242
1944,1,1.6686984
1944,2,1.439172
1944,3,1.5257536
1944,4,2.8690069
1944,5,4.4702334
1944,6,6.0904193
1944,7,6.1103053
1944,8,5.9142327
1944,9,4.627262
1944,10,3.462253
1944,11,2.2392082
1944,12,1.6882776
1945,1,1.9997146
1945,2,1.4760724
1945,3,1.7859056
1945,4,2.811912
1945,5,5.214554
1945,6,6.169398
1945,7,6.5831203
1945,8,5.99405
1945,9,4.930686
1945,10,3.609501
1945,11,2.7626147
1945,12,2.2562933
1946,1,1.774688
1946,2,1.5529616
1946,3,2.060647
1946,4,2.704327
1946,5,4.5653358
1946,6,6.2400746
1946,7,6.521178
1946,8,5.8158174
1946,9,4.972138
1946,10,3.7518878
1946,11,2.6472552
1946,12,2.0797956
1947,1,1.7022567
1947,2,1.7236261
1947,3,1.4019517
1947,4,2.6789558
1947,5,4.692509
1947,6,5.9762726
1947,7,6.290754
1947,8,6.0091376
1947,9,4.861874
1947,10,3.5522184
1947,11,2.5169604
1947,12,2.1661363
1948,1,2.366013
1948,2,2.009398
1948,3,1.6744888
1948,4,2.6157155
1948,5,4.6811566
1948,6,6.087708
1948,7,6.190163
1948,8,5.7794733
1948,9,4.80038
1948,10,3.4263759
1948,11,2.7854142
1948,12,2.3534327
1949,1,1.9398408
1949,2,1.6206025
1949,3,1.5951662
1949,4,2.7972949
1949,5,5.1332254
1949,6,6.12843
1949,7,6.4237843
1949,8,6.141693
1949,9,4.8901577
1949,10,3.5165985
1949,11,2.532122
1949,12,1.9710703
1950,1,2.2909405
1950,2,2.071567
1950,3,1.9112781
1950,4,3.1531
1950,5,5.056768
1950,6,6.0264616
1950,7,6.1031847
1950,8,5.964792
1950,9,4.9123645
1950,10,3.4737499
1950,11,2.6716173
1950,12,2.1769128
1951,1,2.005361
1951,2,1.7043983
1951,3,1.450599
1951,4,2.5991077
1951,5,4.826913
1951,6,6.2412724
1951,7,5.9955096
1951,8,6.1087
1951,9,4.928724
1951,10,3.433879
1951,11,2.510576
1951,12,1.7923236
1952,1,1.9677898
1952,2,1.9291291
1952,3,1.8043389
1952,4,3.0164564
1952,5,4.837402
1952,6,6.2238407
1952,7,6.156709
1952,8,6.111429
1952,9,4.963909
1952,10,3.3593245
1952,11,2.3648212
1952,12,2.0165448
1953,1,2.2440073
1953,2,1.5592083
1953,3,1.2513316
1953,4,2.9883225
1953,5,5.150304
1953,6,6.021938
1953,7,6.128559
1953,8,5.862143
1953,9,4.995175
1953,10,3.181613
1953,11,2.3196514
1953,12,1.7319723
1954,1,1.52563
1954,2,1.3009217
1954,3,1.574026
1954,4,2.8146732
1954,5,4.6559258
1954,6,5.7500725
1954,7,6.114166
1954,8,5.811457
1954,9,4.5945277
1954,10,2.9426851
1954,11,2.5077906
1954,12,2.234093
1955,1,1.7509636
1955,2,1.1886137
1955,3,1.3332852
1955,4,2.6873722
1955,5,4.8857684
1955,6,6.0116796
1955,7,6.0965567
1955,8,5.4225736
1955,9,4.9050074
1955,10,3.6070526
1955,11,2.54586
1955,12,2.061437
1956,1,1.7950213
1956,2,1.8142976
1956,3,1.0525452
1956,4,2.92313
1956,5,4.845527
1956,6,6.181205
1956,7,6.306307
1956,8,5.992053
1956,9,4.715401
1956,10,3.116033
1956,11,2.3712597
1956,12,2.3979151
1957,1,1.5711546
1957,2,1.3537358
1957,3,1.6221317
1957,4,2.9091423
1957,5,4.736887
1957,6,6.3125324
1957,7,6.541654
1957,8,5.8837237
1957,9,4.877436
1957,10,3.2757988
1957,11,2.2761695
1957,12,2.2969406
1958,1,1.8657833
1958,2,1.5364395
1958,3,1.5457757
1958,4,2.9148033
1958,5,5.0642066
1958,6,5.9650106
1958,7,6.338825
1958,8,6.256195
1958,9,5.2258363
1958,10,3.5706408
1958,11,2.068918
1958,12,1.9162118
1959,1,1.7313516
1959,2,1.0596199
1959,3,0.9473588
1959,4,2.4676507
1959,5,4.658705
1959,6,5.970536
1959,7,6.2142596
1959,8,5.9941287
1959,9,4.683795
1959,10,3.2457788
1959,11,2.4240348
1959,12,2.1000612
1960,1,1.677959
1960,2,1.516612
1960,3,1.6591239
1960,4,3.03689
1960,5,4.5073338
1960,6,5.945785
1960,7,6.41704
1960,8,5.647379
1960,9,4.895507
1960,10,3.595492
1960,11,2.6394737
1960,12,1.9890757
1961,1,1.7871149
1961,2,1.2466158
1961,3,1.7057256
1961,4,2.7807117
1961,5,4.962089
1961,6,6.343608
1961,7,6.660046
1961,8,5.8386955
1961,9,4.8400426
1961,10,3.9220304
1961,11,2.092186
1961,12,1.8713186
1962,1,1.6943116
1962,2,1.5926161
1962,3,1.3851744
1962,4,2.7105954
1962,5,4.553432
1962,6,6.086535
1962,7,6.05221
1962,8,5.522436
1962,9,4.5036426
1962,10,3.236864
1962,11,2.4259505
1962,12,2.1220362
1963,1,1.799503
1963,2,0.88829225
1963,3,1.183287
1963,4,2.3289826
1963,5,4.4969783
1963,6,5.7499194
1963,7,6.0821643
1963,8,5.636114
1963,9,4.837842
1963,10,3.0829484
1963,11,1.8051095
1963,12,1.3510854
1964,1,1.0205903
1964,2,0.80326486
1964,3,1.0914885
1964,4,2.6736588
1964,5,5.0394406
1964,6,5.945863
1964,7,5.9580255
1964,8,5.649754
1964,9,4.5039353
1964,10,3.1305928
1964,11,2.1574566
1964,12,1.4370213
1965,1,1.4466017
1965,2,1.4306351
1965,3,1.5667646
1965,4,2.8511567
1965,5,4.504454
1965,6,5.7776203
1965,7,6.1899805
1965,8,5.4993844
1965,9,4.480151
1965,10,3.1412303
1965,11,1.9133129
1965,12,1.6950243
1966,1,1.9038131
1966,2,1.317519
1966,3,1.6678877
1966,4,2.8903983
1966,5,4.9950056
1966,6,6.18833
1966,7,6.154738
1966,8,5.6154537
1966,9,4.376364
1966,10,2.9247503
1966,11,2.043782
1966,12,1.8581142
1967,1,1.3634118
1967,2,1.3354186
1967,3,1.0354139
1967,4,2.3745344
1967,5,4.454714
1967,6,6.1165857
1967,7,6.213716
1967,8,5.714916
1967,9,4.473148
1967,10,3.3482761
1967,11,2.4876204
1967,12,2.1350513
1968,1,1.3161976
1968,2,0.8952769
1968,3,1.0779604
1968,4,2.4494214
1968,5,4.7121415
1968,6,6.07266
1968,7,6.020492
1968,8,5.6177397
1968,9,4.609567
1968,10,2.7761972
1968,11,1.9376599
1968,12,1.2623929
1969,1,1.3608547
1969,2,1.1541713
1969,3,1.5101967
1969,4,2.6646721
1969,5,4.347172
1969,6,5.6472783
1969,7,6.120579
1969,8,5.8496876
1969,9,4.411958
1969,10,2.828823
1969,11,2.11695
1969,12,1.416659
1970,1,1.4791784
1970,2,0.9987751
1970,3,1.1376014
1970,4,2.8685553
1970,5,4.542203
1970,6,5.78745
1970,7,5.941511
1970,8,5.5228653
1970,9,4.233306
1970,10,3.0731761
1970,11,2.104396
1970,12,1.4497546
1971,1,1.596561
1971,2,1.447174
1971,3,1.5035781
1971,4,2.461469
1971,5,4.6621323
1971,6,6.28346
1971,7,6.387814
1971,8,5.8608074
1971,9,4.675758
1971,10,2.8956094
1971,11,2.1521614
1971,12,2.1881514
1972,1,2.0769835
1972,2,1.1774133
1972,3,0.8931811
1972,4,2.9225276
1972,5,5.286381
1972,6,6.0312114
1972,7,6.014549
1972,8,5.3423605
1972,9,4.353833
1972,10,3.0350616
1972,11,1.9533229
1972,12,1.3938296
1973,1,1.1973588
1973,2,1.2928929
1973,3,1.0685674
1973,4,2.4251313
1973,5,4.8171935
1973,6,6.0863066
1973,7,6.180549
1973,8,5.606871
1973,9,4.3540015
1973,10,3.4935253
1973,11,2.401336
1973,12,1.8554633
1974,1,1.7227397
1974,2,1.4919169
1974,3,0.9217128
1974,4,2.5987062
1974,5,5.0792046
1974,6,6.182763
1974,7,6.153392
1974,8,5.7930307
1974,9,4.62218
1974,10,3.5794787
1974,11,2.191888
1974,12,1.90884
1975,1,1.4306388
1975,2,1.2577739
1975,3,1.0978827
1975,4,2.2913635
1975,5,4.656752
1975,6,5.975871
1975,7,5.956585
1975,8,5.540995
1975,9,4.5713825
1975,10,3.1281214
1975,11,1.8764067
1975,12,1.4421706
1976,1,1.7955151
1976,2,1.1784716
1976,3,1.0744334
1976,4,2.9194293
1976,5,5.0827003
1976,6,5.620953
1976,7,6.1557345
1976,8,5.717917
1976,9,4.4469132
1976,10,3.1942973
1976,11,2.529252
1976,12,1.6573305
1977,1,1.7920717
1977,2,1.0756732
1977,3,1.0858625
1977,4,2.8206549
1977,5,4.697102
1977,6,6.1146345
1977,7,6.6967926
1977,8,6.1450987
1977,9,4.9124703
1977,10,3.256336
1977,11,2.3781605
1977,12,1.8424449
1978,1,1.848322
1978,2,2.0962842
1978,3,1.8982093
1978,4,2.7663805
1978,5,5.0588994
1978,6,6.1820536
1978,7,6.296943
1978,8,5.8102612
1978,9,4.536167
1978,10,3.1684203
1978,11,2.2706604
1978,12,2.1518261
1979,1,1.561665
1979,2,1.8764013
1979,3,1.7085758
1979,4,2.7648413
1979,5,4.695131
1979,6,5.9441996
1979,7,6.4839296
1979,8,5.7317986
1979,9,5.1451607
1979,10,3.4187849
1979,11,2.1673343
1979,12,1.9490685
1980,1,1.8706008
1980,2,1.6993455
1980,3,1.6525873
1980,4,3.0380137
1980,5,5.021302
1980,6,6.3382745
1980,7,6.228913
1980,8,5.9351068
1980,9,5.011075
1980,10,3.5862226
1980,11,2.5380883
1980,12,2.1486626
1981,1,1.8581816
1981,2,1.2893437
1981,3,1.4973146
1981,4,2.8133023
1981,5,4.95848
1981,6,5.936029
1981,7,6.0353622
1981,8,5.807109
1981,9,4.545295
1981,10,3.2080805
1981,11,2.2303228
1981,12,1.918835
1982,1,1.4959105
1982,2,1.5517153
1982,3,1.6208804
1982,4,2.7686322
1982,5,4.8037663
1982,6,6.302992
1982,7,6.655061
1982,8,5.9362793
1982,9,4.989006
1982,10,3.4594753
1982,11,2.3913324
1982,12,2.1380455
1983,1,1.6648487
1983,2,1.2075995
1983,3,2.0022135
1983,4,2.8859441
1983,5,4.592328
1983,6,5.7313313
1983,7,6.1915064
1983,8,5.5349145
1983,9,4.6994467
1983,10,3.2896416
1983,11,2.3308754
1983,12,2.338982
1984,1,1.5201206
1984,2,1.3493183
1984,3,1.156141
1984,4,2.5563664
1984,5,4.8770585
1984,6,5.901096
1984,7,6.1208277
1984,8,5.5430365
1984,9,4.603229
1984,10,3.0028832
1984,11,2.464973
1984,12,2.1247509
1985,1,1.7557801
1985,2,1.4698266
1985,3,1.2524168
1985,4,2.5715826
1985,5,4.553575
1985,6,5.984559
1985,7,6.553454
1985,8,5.8211765
1985,9,4.7275033
1985,10,3.5093973
1985,11,2.2965546
1985,12,1.972485
1986,1,1.8034496
1986,2,1.5964391
1986,3,1.7883735
1986,4,3.2743225
1986,5,4.615582
1986,6,6.061179
1986,7,6.4413385
1986,8,5.5785074
1986,9,4.8270063
1986,10,3.5030658
1986,11,2.6013496
1986,12,2.2091212
1987,1,2.1149929
1987,2,1.2637117
1987,3,1.8038907
1987,4,2.6171978
1987,5,4.9537883
1987,6,5.905077
1987,7,6.362459
1987,8,5.6830277
1987,9,4.889298
1987,10,3.4395478
1987,11,2.3175275
1987,12,1.9735993
1988,1,1.5900457
1988,2,1.597724
1988,3,1.6775264
1988,4,2.9760647
1988,5,5.0256386
1988,6,6.573389
1988,7,6.574351
1988,8,5.708398
1988,9,4.398785
1988,10,3.628207
1988,11,2.4371674
1988,12,2.0853329
1989,1,1.9015644
1989,2,1.8904502
1989,3,1.8850408
1989,4,2.9734435
1989,5,4.8287067
1989,6,6.0634017
1989,7,6.4050865
1989,8,6.183341
1989,9,5.0397215
1989,10,3.3085494
1989,11,2.4607377
1989,12,1.9745426
1990,1,1.770704
1990,2,1.6427209
1990,3,1.6648272
1990,4,3.0347946
1990,5,4.931501
1990,6,6.0942063
1990,7,6.5985703
1990,8,6.030063
1990,9,4.972311
1990,10,3.5940092
1990,11,2.431373
1990,12,1.7226199
1991,1,2.189974
1991,2,1.6112245
1991,3,1.7395959
1991,4,3.1816328
1991,5,5.0391145
1991,6,6.300528
1991,7,6.724676
1991,8,5.963915
1991,9,4.9927573
1991,10,3.8127167
1991,11,3.0611024
1991,12,2.1950665
1992,1,1.8639405
1992,2,1.4475607
1992,3,1.879717
1992,4,2.809131
1992,5,4.9022913
1992,6,6.21852
1992,7,6.1257606
1992,8,5.982938
1992,9,4.9903984
1992,10,3.2619073
1992,11,2.4383476
1992,12,2.1280532
1993,1,2.081558
1993,2,1.6820991
1993,3,1.726303
1993,4,3.010611
1993,5,4.6151943
1993,6,5.8999004
1993,7,6.3417854
1993,8,5.8193836
1993,9,4.66918
1993,10,3.5274045
1993,11,2.4953344
1993,12,1.9305812
1994,1,1.3858656
1994,2,1.2144983
1994,3,1.5723699
1994,4,2.7248898
1994,5,4.758796
1994,6,6.2483897
1994,7,6.382903
1994,8,5.923713
1994,9,4.4699144
1994,10,3.2937832
1994,11,2.4194834
1994,12,2.2636409
1995,1,1.8144379
1995,2,1.8688651
1995,3,1.8852692
1995,4,2.9155765
1995,5,5.038274
1995,6,6.538863
1995,7,6.3027935
1995,8,6.057012
1995,9,5.070771
1995,10,3.6934133
1995,11,2.9694257
1995,12,2.3926587
1996,1,2.0399106
1996,2,1.7675561
1996,3,2.5515506
1996,4,3.4528816
1996,5,5.1174664
1996,6,6.2312484
1996,7,6.5264177
1996,8,6.0750303
1996,9,5.236277
1996,10,3.9613378
1996,11,2.8800004
1996,12,2.7210994
1997,1,2.1133528
1997,2,1.4652423
1997,3,1.9588269
1997,4,2.8916767
1997,5,4.9841647
1997,6,6.442041
1997,7,6.362862
1997,8,6.2979813
1997,9,5.118589
1997,10,3.6415663
1997,11,2.8639908
1997,12,2.6349306
1998,1,2.1808236
1998,2,2.0095007
1998,3,1.8849027
1998,4,3.0886126
1998,5,5.1329317
1998,6,6.3355155
1998,7,6.7868285
1998,8,6.173525
1998,9,5.6467986
1998,10,3.7658625
1998,11,2.7644958
1998,12,2.7832513
1999,1,2.1643193
1999,2,2.1810246
1999,3,2.2914896
1999,4,3.0950415
1999,5,5.662885
1999,6,6.431963
1999,7,7.1356263
1999,8,6.59947
1999,9,5.20718
1999,10,4.070495
1999,11,3.01581
1999,12,2.6176198
2000,1,2.7985678
2000,2,2.1607058
2000,3,2.1320548
2000,4,3.5655692
2000,5,5.4283786
2000,6,6.804888
2000,7,7.135121
2000,8,6.5487237
2000,9,5.590588
2000,10,4.2781873
2000,11,3.241416
2000,12,2.7526426
2001,1,2.5793118
2001,2,2.267752
2001,3,2.7805326
2001,4,3.6703954
2001,5,5.803808
2001,6,6.560357
2001,7,6.792335
2001,8,6.632602
2001,9,5.5783505
2001,10,4.1408024
2001,11,2.8599126
2001,12,2.6184287
2002,1,2.158586
2002,2,2.0849245
2002,3,2.0360405
2002,4,3.360983
2002,5,5.373134
2002,6,6.7958097
2002,7,6.7959876
2002,8,6.591967
2002,9,5.2605543
2002,10,4.25308
2002,11,3.04068
2002,12,2.8516386
2003,1,2.6668909
2003,2,1.7917266
2003,3,1.8288113
2003,4,3.5117085
2003,5,5.1230264
2003,6,6.4403796
2003,7,6.6697764
2003,8,6.4815874
2003,9,5.381273
2003,10,4.6527305
2003,11,3.266784
2003,12,2.7542028
2004,1,2.7620988
2004,2,2.1751637
2004,3,2.353143
2004,4,3.888128
2004,5,5.6112947
2004,6,6.9555626
2004,7,6.549887
2004,8,7.04467
2004,9,5.721379
2004,10,3.9858773
2004,11,2.9423056
2004,12,2.8257499
2005,1,2.6625965
2005,2,2.1749754
2005,3,2.536928
2005,4,3.372133
2005,5,5.6816278
2005,6,6.8235965
2005,7,6.616522
2005,8,6.460582
2005,9,5.4632215
2005,10,4.4046664
2005,11,3.021378
2005,12,2.6162703
2006,1,2.5547705
2006,2,2.3389564
2006,3,2.521742
2006,4,3.3606052
2006,5,5.2665095
2006,6,6.4545665
2006,7,6.6803865
2006,8,6.465204
2006,9,5.809906
2006,10,4.207612
2006,11,2.9793408
2006,12,2.8144133
2007,1,2.6886895
2007,2,2.4130597
2007,3,1.9155046
2007,4,3.3023703
2007,5,5.5897746
2007,6,6.4638333
2007,7,6.7824135
2007,8,6.477471
2007,9,5.5694847
2007,10,4.2227764
2007,11,3.1055007
2007,12,2.437203
2008,1,2.6076431
2008,2,2.5575244
2008,3,2.2691004
2008,4,3.8145103
2008,5,5.7681
2008,6,6.6549153
2008,7,7.1278296
2008,8,6.860803
2008,9,5.6385126
2008,10,4.406792
2008,11,3.6214826
2008,12,2.784046
2009,1,3.0491729
2009,2,2.5269492
2009,3,2.65157
2009,4,4.151011
2009,5,5.8074718
2009,6,6.8382196
2009,7,6.950586
2009,8,6.9833326
2009,9,5.7711563
2009,10,4.470683
2009,11,3.4829032
2009,12,2.9803228
2010,1,2.785729
2010,2,2.392741
2010,3,2.6362944
2010,4,3.7181718
2010,5,5.7265115
2010,6,6.8515105
2010,7,6.9363384
2010,8,6.9972806
2010,9,5.941378
2010,10,4.5412264
2010,11,3.658512
2010,12,2.9660826
2011,1,2.822288
2011,2,2.3682137
2011,3,2.5438757
2011,4,4.06731
2011,5,5.618729
2011,6,6.6336937
2011,7,7.063513
2011,8,6.792822
2011,9,5.5080886
2011,10,4.465507
2011,11,3.495937
2011,12,2.730394
2012,1,2.6933904
2012,2,2.3918118
2012,3,2.2441456
2012,4,3.610353
2012,5,5.359721
2012,6,7.145061
2012,7,6.9142246
2012,8,6.6026917
2012,9,5.659453
2012,10,4.4899125
2012,11,3.3163798
2012,12,3.084376
2013,1,3.0019588
2013,2,2.2539773
2013,3,2.472825
2013,4,3.9083376
2013,5,5.9711533
2013,6,6.742079
2013,7,6.779423
2013,8,6.5851955
2013,9,5.8244224
2013,10,4.5378213
2013,11,3.5784898
2013,12,3.356892
2014,1,3.1957622
2014,2,2.7093616
2014,3,3.0496624
2014,4,3.9438393
2014,5,5.8934455
2014,6,7.0847993
2014,7,7.4234133
2014,8,6.9475126
2014,9,5.8586316
2014,10,4.936793
2014,11,3.7982235
2014,12,3.4688754
